DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	10q23.33	10	92588073	KIF11	IDE - KIF11	3416	3832		13589	4995	rs6583826-G	rs6583826	0	6583826	intergenic_variant	1	0.26	7E-6	5.154901959985743	(Chinese+Malay+Indian)	1.18	[1.10-1.27]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	6p22.3	6	20652486	CDKAL1	CDKAL1			54901			rs9295474-G	rs9295474	0	9295474	intron_variant	0	0.36	9E-6	5.045757490560675	(Chinese+Malay+Indian)	1.16	[1.09-1.24]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	3q26.33	3	179943530	PEX5L	PEX5L			51555			rs7630877-A	rs7630877	0	7630877	intron_variant	0	0.17	7E-6	5.154901959985743	(Chinese)	1.32	[1.17-1.49]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	1q42.2	1	233204408	PCNXL2	PCNXL2			80003			rs12027542-A	rs12027542	0	12027542	intron_variant	0	0.61	4E-7	6.3979400086720375	(Malay)	1.41	[1.23-1.61]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	1q32.2	1	207478831	CR2	CR2			1380			rs17045328-G	rs17045328	0	17045328	intron_variant	0	0.30	7E-6	5.154901959985743	(Malay)	1.38	[1.20-1.59]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	18p11.31	18	2948031	LPIN2	LPIN2			9663			rs10460009-C	rs10460009	0	10460009	intron_variant	0	0.60	9E-6	5.045757490560675	(Malay)	1.35	[1.18-1.54]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	6q13	6	70579486	C6orf57	SDHAF4			135154			rs1048886-G	rs1048886	0	1048886	missense_variant	0	0.18	3E-8	7.522878745280337	(Indian)	1.54	[1.32-1.80]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	6q24.1	6	139952510	intergenic	LOC100132735 - LOC100507477	100132735	100507477		92039	23809	rs642858-A	rs642858	0	642858	intergenic_variant	1	0.40	2E-6	5.698970004336019	(Indian)	1.35	[1.19-1.53]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	2p25.3	2	3793830	intergenic	DCDC2C			728597			rs11677370-T	rs11677370	0	11677370	intron_variant	0	0.40	3E-6	5.522878745280337	(Indian)	1.35	[1.19-1.53]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	7q22.1	7	100892456	ACHE	ACHE			43			rs7636-A	rs7636	0	7636	synonymous_variant	0	0.06	5E-6	5.301029995663981	(Indian)	1.85	[1.42-2.41]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	10q26.3	10	131149699	TCERG1L	TCERG1L			256536			rs10741243-G	rs10741243	0	10741243	intron_variant	0	0.93	5E-6	5.301029995663981	(Indian)	1.75	[1.38-2.23]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	3q23	3	142712158	PLS1	PLS1			5357			rs3773506-C	rs3773506	0	3773506	3_prime_UTR_variant	0	0.06	9E-6	5.045757490560675	(Indian)	1.81	[1.39-2.35]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	19q13.2	19	39090097	FLJ16165	PAPL			390928			rs472265-G	rs472265	0	472265	intron_variant	0	0.22	9E-6	5.045757490560675	(Indian)	1.39	[1.20-1.61]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	4q32.3	4	163611649	MARCH1	MARCH1			55016			rs3792615-T	rs3792615	0	3792615	intron_variant	0	0.95	9E-6	5.045757490560675	(Indian)	1.93	[1.45-2.59]	Illumina [~ 2000000] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2014-03-01	23937595	Al Safar HS	2013-08-13	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23937595	A genome-wide search for type 2 diabetes susceptibility genes in an extended Arab family.	Type 2 diabetes	66 Arab ancestry cases and 112 Arab ancestry controls from one extended family	116 Arab ancestry cases, 199 Arab ancestry controls	4p12	4	46966033	GABRA4, COX7B2	GABRA4			2557			rs2055942-?	rs2055942	0	2055942	intron_variant	0	NR	1E-6	6.0				Illumina [443502]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002123	Genome-wide genotyping array
2016-12-13	26915486	Adams JN	2016-02-23	Gene	www.ncbi.nlm.nih.gov/pubmed/26915486	Genetic analysis of advanced glycation end products in the DHS MIND study.	Advanced glycation end-product levels	399 diabetes cases, 107 non-diabetes controls from 240 families	NA	20p12.1	20	14928095	MACROD2	MACROD2, MACROD2-AS1			140733, 100379174			rs716316-?	rs716316	0	716316	intron_variant	0	NR	8E-6	5.096910013008056		0.129	[0.074-0.184] unit increase	Affymetrix [371951]	N	advanced glycation end-product measurement, type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0007819, http://www.ebi.ac.uk/efo/EFO_0001360	GCST003457	Genome-wide genotyping array
2016-12-13	26915486	Adams JN	2016-02-23	Gene	www.ncbi.nlm.nih.gov/pubmed/26915486	Genetic analysis of advanced glycation end products in the DHS MIND study.	Advanced glycation end-product levels	399 diabetes cases, 107 non-diabetes controls from 240 families	NA	4q32.3	4	168687639	PALLD	PALLD			23022			rs17054480-?	rs17054480	0	17054480	intron_variant	0	NR	8E-7	6.096910013008056		0.312	[0.19-0.43] unit decrease	Affymetrix [371951]	N	advanced glycation end-product measurement, type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0007819, http://www.ebi.ac.uk/efo/EFO_0001360	GCST003457	Genome-wide genotyping array
2016-12-13	26915486	Adams JN	2016-02-23	Gene	www.ncbi.nlm.nih.gov/pubmed/26915486	Genetic analysis of advanced glycation end products in the DHS MIND study.	Advanced glycation end-product levels	399 diabetes cases, 107 non-diabetes controls from 240 families	NA	14q24.3	14	74495572	NPC2, ISCA2	ISCA2 - LTBP2	122961	4053		4	2611	rs11159086-?	rs11159086	0	11159086	3_prime_UTR_variant	1	NR	3E-6	5.522878745280337		0.18	[0.11-0.25] unit decrease	Affymetrix [371951]	N	advanced glycation end-product measurement, type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0007819, http://www.ebi.ac.uk/efo/EFO_0001360	GCST003457	Genome-wide genotyping array
2016-12-13	26915486	Adams JN	2016-02-23	Gene	www.ncbi.nlm.nih.gov/pubmed/26915486	Genetic analysis of advanced glycation end products in the DHS MIND study.	Advanced glycation end-product levels	399 diabetes cases, 107 non-diabetes controls from 240 families	NA	14q21.1	14	40207714	FBXO33	LOC107983984 - LOC105370464	107983984	105370464		480005	10212	rs4454866-?	rs4454866	0	4454866	intergenic_variant	1	NR	5E-6	5.301029995663981		0.281	[0.16-0.4] unit increase	Affymetrix [371951]	N	advanced glycation end-product measurement, type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0007819, http://www.ebi.ac.uk/efo/EFO_0001360	GCST003457	Genome-wide genotyping array
2016-12-13	26915486	Adams JN	2016-02-23	Gene	www.ncbi.nlm.nih.gov/pubmed/26915486	Genetic analysis of advanced glycation end products in the DHS MIND study.	Advanced glycation end-product levels	399 diabetes cases, 107 non-diabetes controls from 240 families	NA	3q23	3	141328230	ZBTB38	ZBTB38			253461			rs6795197-?	rs6795197	0	6795197	intron_variant	0	NR	8E-6	5.096910013008056		0.131	[0.074-0.188] unit decrease	Affymetrix [371951]	N	advanced glycation end-product measurement, type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0007819, http://www.ebi.ac.uk/efo/EFO_0001360	GCST003457	Genome-wide genotyping array
2017-07-11	28406950	Kim J	2017-04-13	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28406950	Interaction of iron status with single nucleotide polymorphisms on incidence of type 2 diabetes.	Prevalent type 2 diabetes	911 Korean ancestry prevalent diabetes cases, 7,024 Korean ancestry incident diabetes and non-diabetes controls		6p22.3	6	20717024	CDKAL1	CDKAL1			54901			rs9465871-?	rs9465871	0	9465871	intron_variant	0	NR	6E-8	7.221848749616356		1.32		Affymetrix [352228]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST004304	Genome-wide genotyping array
2015-12-18	25760438	Anderson D	2015-03-11	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25760438	First genome-wide association study in an Australian aboriginal population provides insights into genetic risk factors for body mass index and type 2 diabetes.	Type 2 diabetes	89 Martu Australian Aboriginal ancestry cases, 302 Martu Australian Aboriginal ancestry controls	NA	2p21	2	45521138	SRBD1	SRBD1			55133			rs34669198-?	rs34669198	0	34669198	intron_variant	0	NR	1E-6	6.0		0.3	[0.18-0.42] unit increase	Illumina [1075436] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002806	Genome-wide genotyping array
2015-12-18	25760438	Anderson D	2015-03-11	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25760438	First genome-wide association study in an Australian aboriginal population provides insights into genetic risk factors for body mass index and type 2 diabetes.	Type 2 diabetes	89 Martu Australian Aboriginal ancestry cases, 302 Martu Australian Aboriginal ancestry controls	NA	2q33.1	2	199751534	TYW5, SATB2	LOC107985973 - FTCDNL1	107985973	348751		11093	9002	rs75260059-?	rs75260059	0	75260059	intergenic_variant	1	NR	9E-7	6.045757490560675		0.34	[0.20-0.48] unit increase	Illumina [1075436] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002806	Genome-wide genotyping array
2015-12-18	25760438	Anderson D	2015-03-11	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25760438	First genome-wide association study in an Australian aboriginal population provides insights into genetic risk factors for body mass index and type 2 diabetes.	Type 2 diabetes	89 Martu Australian Aboriginal ancestry cases, 302 Martu Australian Aboriginal ancestry controls	NA	3p14.1	3	66779484	LRIG1, KBTBD8	LOC105377143 - LOC105377144	105377143	105377144		41148	593	rs12496230-?	rs12496230	0	12496230	intergenic_variant	1	NR	4E-6	5.3979400086720375		0.54	[0.30-0.78] unit increase	Illumina [1075436] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002806	Genome-wide genotyping array
2015-12-18	25760438	Anderson D	2015-03-11	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25760438	First genome-wide association study in an Australian aboriginal population provides insights into genetic risk factors for body mass index and type 2 diabetes.	Type 2 diabetes	89 Martu Australian Aboriginal ancestry cases, 302 Martu Australian Aboriginal ancestry controls	NA	3q27.2	3	185827931	IGF2BP2	IGF2BP2 - TRA2B	10644	6434		2880	86637	rs138306797-?	rs138306797	0	138306797	intergenic_variant	1	NR	3E-6	5.522878745280337		0.78	[0.47-1.09] unit increase	Illumina [1075436] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002806	Genome-wide genotyping array
2015-12-18	25760438	Anderson D	2015-03-11	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25760438	First genome-wide association study in an Australian aboriginal population provides insights into genetic risk factors for body mass index and type 2 diabetes.	Type 2 diabetes	89 Martu Australian Aboriginal ancestry cases, 302 Martu Australian Aboriginal ancestry controls	NA	3q27.3	3	187880139	BCL6, LPP	LOC105374264			105374264			rs149049329-?	rs149049329	0	149049329	intergenic_variant	0	NR	2E-6	5.698970004336019		0.71	[0.42-1.00] unit increase	Illumina [1075436] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002806	Genome-wide genotyping array
2015-12-18	25760438	Anderson D	2015-03-11	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25760438	First genome-wide association study in an Australian aboriginal population provides insights into genetic risk factors for body mass index and type 2 diabetes.	Type 2 diabetes	89 Martu Australian Aboriginal ancestry cases, 302 Martu Australian Aboriginal ancestry controls	NA	13q21.31	13	64920645	intergenic	LOC105370240 - LGMNP1	105370240	122199		122911	36911	rs11454281-?	rs11454281	0	11454281	intergenic_variant	1	NR	9E-6	5.045757490560675		0.6	[0.33-0.87] unit increase	Illumina [1075436] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST002806	Genome-wide genotyping array
